0001,0020,255,255,000,000
0001,0021,255,255,000,000
0001,0023,255,255,000,000
0001,0024,255,255,000,000
0002,0019,255,255,000,000
0002,0022,255,255,000,000
0002,0025,255,255,000,000
0003,0003,255,128,000,000
0003,0007,255,128,000,000
0003,0019,255,255,000,000
0003,0025,255,255,000,000
0004,0002,255,128,000,000
0004,0003,255,128,000,000
0004,0004,255,128,000,000
0004,0006,255,128,000,000
0004,0007,255,128,000,000
0004,0008,255,128,000,000
0004,0019,255,255,000,000
0004,0022,255,000,000,255
0004,0025,255,255,000,000
0005,0002,255,128,000,000
0005,0003,255,128,000,000
0005,0004,255,128,000,000
0005,0005,255,128,000,000
0005,0006,255,128,000,000
0005,0007,255,128,000,000
0005,0008,255,128,000,000
0005,0020,255,255,000,000
0005,0024,255,255,000,000
0006,0003,255,128,000,000
0006,0004,255,128,000,000
0006,0005,255,128,000,000
0006,0006,255,128,000,000
0006,0007,255,128,000,000
0006,0012,255,072,061,139
0006,0015,255,255,165,000
0006,0021,255,255,000,000
0006,0023,255,255,000,000
0007,0004,255,128,000,000
0007,0005,255,128,000,000
0007,0006,255,128,000,000
0007,0022,255,255,000,000
0008,0005,255,128,000,000
0009,0012,255,128,000,000
0010,0033,255,000,000,000
0010,0034,255,000,000,000
0010,0035,255,000,000,000
0010,0036,255,000,000,000
0010,0037,255,000,000,000
0010,0038,255,000,000,000
0010,0039,255,000,000,000
0010,0040,255,000,000,000
0010,0041,255,000,000,000
0010,0042,255,000,000,000
0010,0043,255,000,000,000
0010,0044,255,000,000,000
0010,0045,255,000,000,000
0010,0046,255,000,000,000
0010,0047,255,000,000,000
0011,0030,255,000,000,000
0011,0031,255,000,000,000
0011,0032,255,000,000,000
0011,0048,255,000,000,000
0011,0049,255,000,000,000
0011,0050,255,000,000,000
0012,0028,255,000,000,000
0012,0029,255,000,000,000
0012,0051,255,000,000,000
0012,0052,255,000,000,000
0013,0012,255,255,192,203
0013,0013,255,123,104,238
0013,0014,255,000,000,255
0013,0016,255,000,000,205
0013,0017,255,072,061,139
0013,0018,255,106,090,205
0013,0026,255,000,000,000
0013,0054,255,000,000,000
0014,0012,255,072,061,139
0014,0014,255,107,142,035
0014,0015,255,255,165,000
0014,0016,255,255,165,000
0014,0018,255,123,104,238
0014,0024,255,000,000,000
0014,0025,255,000,000,000
0014,0055,255,000,000,000
0014,0056,255,000,000,000
0015,0012,255,000,000,205
0015,0013,255,072,061,139
0015,0017,255,000,000,205
0015,0018,255,030,144,255
0015,0022,255,000,000,000
0015,0023,255,000,000,000
0015,0057,255,000,000,000
0015,0058,255,000,000,000
0016,0012,255,218,165,032
0016,0013,255,072,209,204
0016,0014,255,128,000,000
0016,0015,255,199,021,133
0016,0016,255,000,000,205
0016,0017,255,255,192,203
0016,0021,255,000,000,000
0016,0022,255,000,000,000
0016,0058,255,000,000,000
0016,0059,255,000,000,000
0017,0009,255,000,206,209
0017,0015,255,000,000,205
0017,0020,255,000,000,000
0017,0060,255,000,000,000
0018,0004,255,000,000,255
0018,0019,255,000,000,000
0018,0061,255,000,000,000
0019,0007,255,000,206,209
0019,0018,255,000,000,000
0019,0062,255,000,000,000
0020,0006,255,000,206,209
0020,0010,255,000,206,209
0020,0017,255,000,000,000
0020,0063,255,000,000,000
0021,0008,255,000,206,209
0021,0016,255,000,000,000
0021,0064,255,000,000,000
0022,0015,255,000,000,000
0022,0016,255,000,000,000
0022,0064,255,000,000,000
0022,0065,255,000,000,000
0023,0011,255,000,206,209
0023,0015,255,000,000,000
0023,0065,255,000,000,000
0024,0006,255,000,206,209
0024,0014,255,000,000,000
0024,0066,255,000,000,000
0025,0014,255,000,000,000
0025,0066,255,000,000,000
0026,0013,255,000,000,000
0026,0067,255,000,000,000
0028,0012,255,000,000,000
0028,0068,255,000,000,000
0029,0012,255,000,000,000
0029,0068,255,000,000,000
0030,0011,255,000,000,000
0030,0069,255,000,000,000
0031,0011,255,000,000,000
0031,0069,255,000,000,000
0032,0011,255,000,000,000
0032,0069,255,000,000,000
0033,0010,255,000,000,000
0033,0070,255,000,000,000
0034,0010,255,000,000,000
0034,0070,255,000,000,000
0035,0010,255,000,000,000
0035,0070,255,000,000,000
0036,0010,255,000,000,000
0036,0070,255,000,000,000
0037,0010,255,000,000,000
0037,0070,255,000,000,000
0038,0010,255,000,000,000
0038,0070,255,000,000,000
0039,0010,255,000,000,000
0039,0070,255,000,000,000
0040,0010,255,000,000,000
0040,0070,255,000,000,000
0041,0010,255,000,000,000
0041,0070,255,000,000,000
0042,0010,255,000,000,000
0042,0070,255,000,000,000
0043,0010,255,000,000,000
0043,0070,255,000,000,000
0044,0010,255,000,000,000
0044,0070,255,000,000,000
0045,0010,255,000,000,000
0045,0070,255,000,000,000
0046,0010,255,000,000,000
0046,0070,255,000,000,000
0047,0010,255,000,000,000
0047,0070,255,000,000,000
0048,0011,255,000,000,000
0048,0069,255,000,000,000
0049,0011,255,000,000,000
0049,0069,255,000,000,000
0050,0011,255,000,000,000
0050,0069,255,000,000,000
0051,0012,255,000,000,000
0051,0068,255,000,000,000
0052,0012,255,000,000,000
0052,0068,255,000,000,000
0054,0013,255,000,000,000
0054,0067,255,000,000,000
0055,0014,255,000,000,000
